"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size"
"ANOnto","0.975606867624213","0.626053339216005","0.428929095500928","0.636392936167864","0.459331877187698","0.654845084591081","16","5","13","37","7"
"AROnto","0.977830071908839","0.319492367089722","0.601403624214712","0.688457208616393","0.622968053765128","0.874570636332092","60","6","5","4","3"
"CBOOnto","0.62887371308285","0.3386084242888","0.795656607408913","0.38999746449731","0.32812049344011","0.645174935650928","3","5","49","14","7"
"CBOOnto2","0.715353453082211","0.679552876928429","0.522576098920475","0.671982219415506","0.56923188636078","0.647330878622393","3","52","15","6","2"
"CROnto","0.999497958069541","0","0","0","0","0.948241652527513","74","1","1","1","1"
"DITOnto","0.61048875432526","0.708977641235706","0.566623774509804","0.614235303420185","0.672326007326007","0.64152046183274","17","28","17","10","6"
"INROnto","0.749887751988677","0.474152889830043","0.6287875981597","0.5208292456951","0.61790813611394","0.611751272794696","4","6","58","8","2"
"LCOMOnto","0.633685807209515","0.651824927511509","0.495942618420576","0.483623006182618","0.948993311305927","0.593864999653349","14","32","15","15","2"
"NACOnto","0.852948317337322","0.528435636674171","0.530550574322644","0.737116871190156","0.92075661911271","0.783855034491657","57","9","7","3","2"
"NOCOnto","0.70230062432947","0.469093876267356","0.548676874234482","0.608899181968542","0.746615540003981","0.61067445792322","36","19","14","7","2"
"NOMOnto","0.827926629121619","0.353947159991899","0.798318825484362","0","0.998712417202756","0.766242194731859","64","9","2","1","2"
"POnto","0.952525255100588","0.450177036004334","0.634824532619345","0.77498492873544","0.584914688164721","0.717982031199961","7","12","6","48","5"
"PROnto","0.843656257309016","0.542731011317189","0.678362934595087","0.614848512432608","0.633225970523704","0.691071041069183","24","16","23","7","8"
"RFCOnto","0.809217629446277","0.394558420225046","0.810957975553598","0","0.998736164242271","0.755901824951011","64","9","2","1","2"
"RROnto","0.633225970523704","0.614848512432608","0.678362934595087","0.542731011320351","0.843656257314452","0.691071041071505","8","7","23","16","24"
"TMOnto","0.979473298486598","0.539139157681071","0.62916442628861","0.632988923709615","0.114375427218254","0.792388074720148","46","15","6","7","4"
"TMOnto2","1","0.842509808604893","0.622483618616316","0.827236166459478","0.535849613670002","0.897292460439749","41","26","7","2","2"
"WMCOnto","0.563682391181529","0.554748490218592","0.619505858857517","0.473098856518268","0.865852511429982","0.572174588390748","16","35","18","7","2"
"WMCOnto2","0.574508528365466","0.523327200895909","0.613898805855481","0.491047691934662","0.716040921257884","0.569609659408873","52","11","8","5","2"
