"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Cluster_6_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size","Cluster_6_Size"
"ANOnto","0.975606867624213","0.626053339216005","0.394210239425219","0.681083429306472","0.578308987933535","0.358707829031107","0.67266933705024","16","5","13","35","7","2"
"AROnto","0.942212534098976","0.498433534463472","0.581106594464977","0.688457208616393","0.926764040047296","0","0.870817963318916","62","4","5","4","2","1"
"CBOOnto","0.62887371308285","0.3386084242888","0.772118796000029","0.533248897219113","0.663118706573773","0.56923188636078","0.685421742829573","3","5","49","13","6","2"
"CBOOnto2","0.62887371308285","0.3386084242888","0.772118796000029","0.533248897219113","0.663118706573773","0.56923188636078","0.685421742829573","3","5","49","13","6","2"
"CROnto","0.912986978118666","0.836194330997293","0","0","0","0","0.834662457344838","42","32","1","1","1","1"
"DITOnto","0.63993183932332","0.440203260791496","0.741886209029066","0.71875","0.223847517730496","0.582248550669603","0.615306939654868","37","13","12","8","2","6"
"INROnto","0.744037507715089","0.497696499738349","0.754353135648279","0.493959429184717","0.62343190680129","0.574860384982167","0.682637968427006","4","5","49","12","6","2"
"LCOMOnto","0.756254261538546","0.518853763189181","0.465878409823146","0.512362636973574","0.452924702008723","0.947651948236216","0.526750080522399","9","13","27","14","13","2"
"NACOnto","0.957243869736097","0.545104355383614","0.48520371338736","0.495888347747923","0.737116871190156","0.92075661911271","0.79538567830244","46","13","7","7","3","2"
"NOCOnto","0.614891392475326","0.465940671452465","0.617142526288696","0.503029649267304","0.598954615271841","0.746615540003981","0.543191161998909","14","29","13","13","7","2"
"NOMOnto","0.672239690538946","0.340946217868152","0.507685519045138","0.740673141377427","0","0.998712417202756","0.563371903800373","45","24","4","2","1","2"
"POnto","0.952525255100588","0.450177036004334","0.627463062723802","0.790026813875267","0.74365219110375","0","0.726719241048144","7","12","6","47","5","1"
"PROnto","0.896815231683238","0.446480104596445","0.51139928237744","0.558387085794871","0.607208098364203","0.633225970523704","0.643862613662044","22","12","8","21","7","8"
"RFCOnto","0.715822996715038","0.593412899206078","0.282069475608576","0.810957975553598","0","0.998736164242271","0.614501950410714","31","33","9","2","1","2"
"RROnto","0.633225970523704","0.541849344796949","0.579435750854666","0.432933468384082","0.597237423666053","0.826253990118762","0.630438826294477","8","7","10","16","13","24"
"TMOnto","0.971968942491486","0.660397854996993","0.780387611366784","0.514064901654918","0.632988923709615","0.114375427218254","0.810119250592077","46","10","5","6","7","4"
"TMOnto2","1","0.864215417783539","0.59190436050077","0.818167416532618","0.5191752005843","0.438937041354346","0.876858933247572","41","21","5","3","4","4"
"WMCOnto","0.585221479138591","0.626610871338564","0.58426892094247","0.539521279135028","0.432190852016478","0.865852511429982","0.590188978099335","14","33","12","10","7","2"
"WMCOnto2","0.764128238638969","0.849717815901377","0.536313733823646","0.58161315507196","0.491047691934662","0.716040921257884","0.75744400065804","2","52","9","8","5","2"
